service_name,service_category
"Wax 1 area, Women's Cut",Women's Haircut
"shellac, mini pedicure",Manicure
"Partial Highlights, Women's hair cut",Highlights
"Sew in take out and shampoo, Full Sew In, Eyebrow tint","Weaves, Eyebrows"
Starter Locs / Loc Retwist,Natural Hair
"highlights, Toner, Well water treatment, Wet cut or trim w chemical service, Olpalex in color treatment","Hair Color, Hair Treatments"
"Fill Me In, Add Gel Polish, Nail Art",Manicure
"Brazilian Wax, Brow + Lip Wax",Waxing
Braid touch up,Braids
"Gel Removal, Gel Manicure, Root Re-touch",Manicure
"Root Touch Up, Blowout (Smooth or Voluminous), Glaze/Toner",Hair Color
"Women's Brazilian, Brow shaping, lip",Eyebrows
"Color touch up, Full Highlights, Partial Highlights",Highlights
"Brow/Lip Wax, Bang Trim",Women's Haircut
"Full leg, Underarms",Waxing
"Spa Pedicure, Gel Full Set",Pedicure
"Brow, Chin wax",Waxing
"Women's Cut, Area Highlight/lowlight",Women's Haircut
"Airbrush Make-Up, Make-Up Application",Makeup
"Modified Bikini Wax, Lip Wax",Waxing
"Styling, Eyebrow",Special Occasion Style
"Brow Wax, Brow Tint, Lash Tint","Eyebrows, Eyelashes"
"Relaxer, Hydration Steam treatment, Men's Cut","Relaxers, Men's Haircut"
Halo braid/ 2 feedin braids,Braids
"Women's Cut and Style, Color Retouch, Band-Aid Highlights, Brow Wax",Eyebrows
"Brow Tint and Shaping, Blowout, Deep Condition/Olaplex (Add-on)",Style
Mayvenn Voucher,Extensions
"Women's Hair Cut, Basic Color, Brow Wax, Lip Wax","Eyebrows, Waxing"
"Color retouch, Women's dry cut",Women's Haircut
Eyelash Extensions Special,Eyelashes
•CUT•BEARD•HOT TOWEL SHAVE•,Barber
"Extended bikini sugar, UnderArm Wax",Waxing
"Silk Press with Silicon, Semi/Demi Permanent Color, Women's cut",Women's Haircut
Mink mix Hybrid Eyelash Extensions,Eyelashes
"Custom Color & Style, Trim",Hair Color
"Balance, Gel polish upgrade, Nail Repair",Manicure
"Brow wax, Lip Wax","Eyebrows, Waxing"
"double process color, glaze, Long hair cut",Hair Color
Wash & Style with Weave add-on,Style
Box Braids w/Scalp Braids in front,Braids
"Jumbo box braids, Women's Trim",Women's Haircut
"Virgin relaxer, Relaxed hair(Shampoo&Style)",Relaxers
"Babylights, Women's Cut, Color Retouch","Highlights, Women's Haircut"
"Tint, Blow out",Style
All Over Color and Style,"Hair Color, Style"
"Temp,Fade w/ goatee, moustache",Men's Haircut
Brow  Wax + Tint,Eyebrows
"Relaxer touch up, Rods for Naturals",Relaxers
"Classic 2 week fill in, Brow tint",Eyebrows
"Acrylic Fill-in / Nail Service, Nail Art (2) Nails",Manicure
"Woman's Haircut, Eyebrow Tint",Eyebrows
"Women's Cut, brow or lip wax",Women's Haircut
"Partial Foil Highlights, Women's Cut short to medium hair",Highlights
"Lace closure sewin, Sewin take Down, Shampoo bundles, Net",Weaves
"Root Retouch, Heat Styling, Toner",Hair Color
Full Highlights/Balayage,Highlights
Beard Clean up only,Barber
Extension Shampoo w/ Style,Style
"Partial Highlights, Women's Cut & Style, Color Retouch",Highlights
"Shellac or Gel, Express Pedicure, VERY IMPORTANT PLEASE READ BEFORE BOOKING","Manicure, Pedicure"
Lip/Brow Wax,Waxing
"halo, rinse, Extension wash/style, Wrap&curl",Sets & Styles
"Touch up Color, Shellac manicure, Lip Waxing",Manicure
Traditional Sew In w/leave out,Weaves
"Hydrotherapy Bald Head Treatment, Alaskan Detox Facial",Barber
"Acrylic Fill with Gel Polish, Pedicure, 10 Junk Nails","Manicure, Pedicure"
"solar full set buff shine, Pedicure",Pedicure
"Braids, Service Fee",Braids
"natural hair style, deep moisturize mask, trim","Natural Hair, Hair Treatments, Women's Haircut"
Natural Lashes,Eyelashes
"Pedicure, Nail Bows, Full Junk (BLING) Nails, Acrylic Fill-In w/ No Chip Polish",Pedicure
"Color Retouch, Shine or Gloss add on to Haircut, Women's Cut",Women's Haircut
"Short Hair only-Relaxer, Semi Permanent Color","Relaxers, Hair Color"
"Wash wrap & curl, Eyebrow Wax",Eyebrows
"Gel Application without Removal, Basic Pedicure","Manicure, Pedicure"
"Shampoo & Style, Highlight","Sets & Styles, Hair Color"
New client Silk Press(for first time clients only),Natural Hair
Fade/Sides Cut,Men's Haircut
"Teen facial, Brow Wax, Acu mist",Eyebrows
"Updo, Semi-Permanent Color",Hair Color
"Interlocking - Pipe Cleaners, Basic Shampoo/Deep Condition, Loc Repair, Loc Styling (w/o maintenance)",Locs
"Partial Balayage, Toner w/ Color",Highlights
Box Braids bra length,Braids
"RETOUCH RELAXER + Style above, silk WRAP neck length, POST- RELAXER TREATMENT + on, RESHAPING CUT/TRIM + on","Relaxers, Sets & Styles, Hair Treatments, Women's Haircut"
"Men's Cut, shampoo blowdry",Men's Haircut
"Touch up (all over), Balayage",Highlights
Hairdress,Men's Haircut
"Spa Pedicure, Polish Change, Gel Top Coat","Pedicure, Manicure"
"partial highlight, dry cut",Highlights
Full set Top &Bottom Lashes,Eyelashes
"Female Haircut, Waxing - Eyebrow or Lip, Pedicure",Pedicure
"Foils, Toning, Long Hair, Eyebrow shaping",Eyebrows
"Shampoo and Style, temporary color",Sets & Styles
"Shampoo & Basic Style, Semi permanent, Sew In (a la carte), Relaxer Retouch",Relaxers
"Shampoo + Thermal Style, Protein Treatment, End Trim",Hair Treatments
"Partial highlights, Haircut and Blowout, Partial root touch up",Highlights
2 wk volume refill look,Eyelashes
"Partial  Foil Highlight, Women's Cut","Highlights, Women's Haircut"
Dip OverLay,Manicure
"Lace Closure Sew In, Extension Coloring","Weaves, Extensions"
BROW FILL & STRIP LASH COMBO,Eyebrows
Adult Bald Head (no razor),"Barber, Men's Haircut, Women's Haircut"
2 Goddess  Braids,Braids
"Shampoo & Style *read info*, Signature Trim *read info*",Women's Haircut
Permanent Color,"Hair Color, Highlights"
"Brow Shaping, Brow Tinting","Eyebrows, Eyelashes"
"2 Feed-in Braids, Add Deep Condtioning Treatment, Add length (Pass mid back )",Braids
"Half Crochet Braids,Half Individual Braids",Braids
Free  Downtown  Parking,Men's Haircut
First Time Brazilian Wax,Waxing
Press & Doll Curl,Style
"Individual Lashes, Brow shaping","Eyelashes, Eyebrows"
"Protein treatment (add on), Shampoo, Natural Cut","Natural Hair, Sets & Styles"
"Women's Cut, Conditioning treatment, Partial highlights, extra color/toner","Women's Haircut, Highlights"
Up-do,Style
"Rod set, Blowout",Style
"Adult and Kid retwist ONLY, Loc Fragrance",Locs
"Mani/Pedi Express, Soak-Off Removal, Nail Art (per nail)",Manicure
"All over Color, Added Color",Hair Color
Shampoo Blow-dry w/ Deep Conditioner,Sets & Styles
Natural two strand/braid,"Braids, Natural Hair"
"Med\Large Box Braids, Braiding Hair",Extensions
"Shampoo and Style (Relaxed), Strip Lashes","Sets & Styles, Eyelashes"
Men’s Braids without shampoo,Braids
Bald Head Straight Razor Shave,Men's Haircut
DevaCut,Natural Hair
"French Bikini, Half Leg Wax",Waxing
Fade w Beard,Barber
J- Mens Straight Back Cornrows,Style
"Shampoo & Style, Cornrows (w/ braiding hair added), Eyelash Extensions",Eyelashes
Dread Styled,Locs
Diva Beat Down,Makeup
"Partial Foil Highlight, Pedicure, Facial Wax",Pedicure
"Partial Foil Highlights, Brazilian Blowout","Highlights, Straightening Treatments"
Sleek Extended Ponytail,"Natural Hair, Weaves"
Tribal Braided Ponytail,Braids
"Men's Cut w/o face, Eye Brows",Barber
"Partial Relaxer, Women's Cut, Style",Women's Haircut
"Full Sets.Stilletos.Coffins.Squares, Add Gel Polish",Manicure
"Clipper Cut, Vivid Root Retouch (New Growth Only",Hair Color
"part foil, Women's Cut",Women's Haircut
crochet braids w/pretwisted hair,Braids
"Eyelash Fill, Brazilian Wax","Eyelashes, Waxing"
"Relaxer retouch, Cut (add on)",Relaxers
Medium Indiviuals,Braids
"Full Leg Wax, Underarm Wax, Brazilian Wax",Waxing
"Extension installation, Women's Cut",Women's Haircut
"Eyebrow Wax, Mini Facial","Eyebrows, Skincare"
Updo(No Extensions),Style
QW /Style/Bundle Body Curls,Style
"Natural Hair/Shampoo & Style, Toner Haircolor, Silk wrap",Sets & Styles
"Full Set Extension Removal, Retape, Color, Reapply, Trim","Extensions, Highlights, Women's Haircut"
"Eyebrows, Microdermabrasion, Microcurrent Facial",Skincare
Classic Facials,Skincare
"Retwist, Loc style, Extra new growth/ excessive, LFL Loc oil special",Locs
"Women's Cut, Glaze",Women's Haircut
Beard trim/lineup,Barber
First Time Brazilian Sugaring,Sugaring
"Shampoo, Blow Dry & Style, Women's Cut",Women's Haircut
"Root touch up/ Full Color, Ladies  Hair Cut and Style","Hair Color, Women's Haircut"
"Women's Cut & Style, Color Retouch, Foil Highlights",Highlights
"Men's Cut, Kids cut 12 & under",Men's Haircut
Men’s Beard shape up and trim,Barber
"Men's Cut, Clean up",Men's Haircut
"GEL MANICURE, SUITE SPA PEDI, CUSTOM ART",Manicure
"All over color, Women's haircut, Add 10 foils with all over color",Hair Color
Eyelash Extensions(hybrid),Eyelashes
"Full Color, Olpalex in color treatment, Toner","Hair Treatments, Hair Color"
"Eyebrow cleanup, Nostrils & Ears, Back only","Eyebrows, Waxing"
Brazilian Keratin Treatment (Brazilian Blowout),Hair Treatments
"RELAXER RETOUCH, Custom Cuts","Relaxers, Women's Haircut"
"Custom Foil  + Cut, + Root Retouch to Hair Color",Hair Color
"Full Color, Partial weave, Women's Cut","Weaves, Women's Haircut"
Partial Foil and Cut,Highlights
"Wash/blow dry/flat iron, Relaxer touch-Up",Relaxers
"Sew In or Crochet Take Down, Partial Sew-In",Weaves
"Peek a Boo Foils, Women's Cut",Women's Haircut
"Basic Braids, Protein Treatment",Hair Treatments
"Haircut added to Chemical Service, Color, Brow Wax, Lip Wax","Eyebrows, Waxing"
full leg wax,Waxing
natural hair style,Natural Hair
"Basic Haircut & Shave ""Razor""",Barber
"Full Highlight, Women's Cut, Blow Dry",Women's Haircut
Make up Application,Makeup
Full Face Make-Up | Thursdays Only,Makeup
Loc Extensions,Locs
"hair extensions, Full highlights",Highlights
"Women's Cut, Eye Brow, Lip wax, A processing fee","Women's Haircut, Waxing"
Gel Polish Manicure + Simple Nail Art,Manicure
"Root Touch Up, cut, style",Hair Color
Relaxer/Rinse/Trim,"Relaxers, Style"
Pink & White Ombre (Short),Manicure
MARCH PROMO,Highlights
"Bottom Eyelash Extensions, Eyebrow Clean Up (Razor) & Tint","Eyelashes, Eyebrows"
"Women's Cut, All Over Single Color","Women's Haircut, Hair Color"
"Quick Weave, 'THE EXPERIENCE' Silk Press","Weaves, Natural Hair"
"Eyebrow thredding, Men's Cut",Men's Haircut
"30 min Cut, Partial Weave","Women's Haircut, Weaves"
"Women's Haircut, Retouch with Hi-Lights Med/Long",Highlights
RYAN SIMS GLAM FACE,Makeup
Hard or Soak-Off Gel Fill,Manicure
"Lash Extentions (Classic) Sm-Med, 24Kt Gold Collagen /Expression Line",Eyelashes
"Face Wax (Not including eyebrows), Brow Wax, First Time Guest 3-D Touch Up",Eyebrows
"Swedish Massage, Lemon Martini Foot Scrub",Massage
"Frizz Free February!!, Bang Trim",Women's Haircut
"Relaxer Re-Touch, Hair Trim (only 2-3 inches off)",Relaxers
MakeUp Application,Makeup
"Men's Cut, Women's Cut & Blowdry",Men's Haircut
Loc Wash and Retwist (55 and Up),Locs
Foilayage + Women's Cut,"Highlights, Women's Haircut"
"Styling Service Deposit (Required), Ladies Cut, Shampoo Style Relaxed Hair",Barber
Brow enhancement,Makeup
"Brazilian, Under Arms, Brow Shaping",Eyebrows
"Shampoo Blow-dry Curl, Uninstall, Women's Cut",Women's Haircut
Bring a friend special (Natural Mink Extension),Eyelashes
"Double Process Color, Hair Glaze Treatment, Women's Cut","Hair Color, Hair Treatments, Women's Haircut"
"Partial Balayage, Consultation, Haircut Add-On, Root Shade Add-On","Highlights, Women's Haircut"
"Eyebrow wax+Lip wax, Lip Wax",Waxing
Mini Facial,Skincare
"Relaxer Retouch, Deep Conditioning Treatment","Relaxers, Hair Treatments"
"Acrylic Full Set (square), Spa pedi",Pedicure
"3-WEEK BRAZ UPKEEP, Under Arm Sugaring",Sugaring
"Brow Wax, Hair Extensions Consultation",Eyebrows
Moisture sandwich Deep Conditioning Treatment for dry  hair and scalp,Natural Hair
"Relaxer touch-up, Hair Cut Add on",Relaxers
"SILK PRESS, TRIM",Natural Hair
"Acrylic Fill-short to long nails, Swarovski Crystals design (PER NAIL)",Manicure
"Full Color, Hair Trim/Dusting, Partial Balayage",Highlights
"Women's Cut, Highlights/ cap",Women's Haircut
"Bikini Wax, Brow Wax, 1/2 Leg, Underarm","Waxing, Eyebrows"
"lash dye, Brow Wax, 60 min facial",Eyebrows
"Root Touch Up, Women's Trim","Hair Color, Women's Haircut"
Sewin Bob w/Lace Closure,Weaves
"Brazilian, Under Arm Wax, Chin Wax, Lip Wax",Waxing
"Balayage, Toner, Dry Haircut","Highlights, Hair Color"
"Shampoo and Style, Protein Treatment, Rinse","Sets & Styles, Hair Treatments"
New Client Deal,"Hair Color, Hair Treatments, Highlights, Women's Haircut"
"Protein Treatment, Shampoo/style",Hair Treatments
"Women's Haircut and Style, Lip Wax",Waxing
VIRGIN RELAXER,Relaxers
Jojoba Love Facial,"Eyebrows, Makeup, Skincare, Waxing"
Men's Cut 2,Men's Haircut
"Supreme Spa Pedicure, Classic Manicure","Pedicure, Manicure"
"Silk Press, Re-Touching perimeter only","Natural Hair, Sets & Styles, Style, Hair Color"
"BUILDER GEL w/ GEL POLISH, Design, Pedicure","Barber, Pedicure"
Eyebrow Contour (Repeat Clients),Eyebrows
Partial Balayage & Haircut,Highlights
"Brow Wax Brow Design, Eyelash Extensions Fills",Eyelashes
"Women's Cut, ONE PROCESS RETOUCH",Women's Haircut
"Keratin Express Blowout, Women's Shampoo Cut & Style, Eyebrow Wax",Eyebrows
$100 Special,Extensions
"Microdermabrasion Facial, Bikini Wax",Waxing
Ombré Full Set,Extensions
"Shampoo and Style(SHORT HAIR), New Women's Cut(ONLY)",Women's Haircut
"Shampoo/Deep conditioning, Scalp Treatment",Hair Treatments
"Acrylic removal, Full set",Extensions
"Deep Cond Treatment, Women's cut",Women's Haircut
Full sew in(No frontals),Weaves
"All over color, Women's haircut, Brow wax","Hair Color, Eyebrows"
"Pedicure, Women's Cut/Style",Pedicure
Full Face Make-Up Application,Makeup
"Adult Style haircut (fade, Mohawk, flat top etc..",Style
"Child's cut, Men's Cut",Men's Haircut
"Bikini wax, Underarm wax",Waxing
"Conditioning Treatment, Roller Set & Blowout","Hair Treatments, Sets & Styles"
"DRY GEL  MANICURE, Dry PEDICURE, Liquid Gel Balance/Gel fill/Fill-in",Manicure
Men’s cut w/ hot towel shave includes shampoo,"Barber, Men's Haircut"
"Add a Haircut to Color Service, Balayage","Women's Haircut, Highlights"
"Nose Wax, Brow + Lip Wax, Brow Tint, Underarm Wax","Waxing, Eyebrows"
Wash Blow Dry and Flat Iron,Style
"Balayage, Blow Out","Highlights, Style"
"Full Hilight, Signature Blowout Out","Highlights, Natural Hair"
"Rinse, Two-Strand Twist",Sets & Styles
"Bump Up, All Over Color",Hair Color
"Gel manicure, Basic pedi +callus treatment",Manicure
"Balayage, Additional haircolor to a highlight",Highlights
"Spa Manicure Gel Polish, Express Pedicure Regular Polish","Manicure, Pedicure"
Small/medium knotless individual braids,Braids
Eyebrow  Wax,Eyebrows
Feed-In Cornrows *2-count,"Braids, Natural Hair, Sets & Styles, Style"
"Retouch, Eyebrow tint, Woman's Cut","Hair Color, Eyebrows, Women's Haircut"
"Ombre, Add on haircuf",Highlights
"Balayage, Glaze, Women's haircut",Highlights
"Full Sew-In, Weave Removal",Weaves
"Wrap & Curl(relaxer), Rinse",Sets & Styles
"Wrap and style, Natural Treatments","Style, Natural Hair"
"Remove sewin, Cornrows",Braids
"Install wash and style, Deep Conditioning Treatment","Weaves, Hair Treatments"
Shampoo/Style w/ Semi-Color,Hair Color
Feeder Braids 4-6 Basic,Braids
"Olaplex Upgrade, Women's Cut, Ombre/ Balayage",Women's Haircut
"silk press, Cut",Natural Hair
"Brows, Women's Cut",Women's Haircut
"Balayage, Additional color, Women haircut  w/color service",Highlights
Full Back + Top of Arm (M),Waxing
Full Sew In with Leave Out,Weaves
B.G. Bob Sew In,Weaves
GEL NAIL ART /INTRICATE,Manicure
"Traditional Manicure, Traditional Pedicure, Underarm wax, Paraffin Pour",Waxing
"Partial Highlights, GK Taming Treatment",Highlights
"Silk Press, Permanent color",Natural Hair
"Acrylic w/ tip extension, Pedicure",Pedicure
"Bleach and Tone, Women's Cut, Kids haircut","Hair Color, Women's Haircut"
"""Fierce Beat""",Makeup
"First Female Brazilian, Lower Back Wax",Waxing
Basic Experience,Men's Haircut
"Women's Cut, Olaplex Repair stand alone treatment",Women's Haircut
"Eyelash tint, Brow wax with tint",Eyelashes
"Root Touch-up, Color Fill",Hair Color
"Dip Set, Regular Pedicure","Manicure, Pedicure"
Young Adult Fade/Mowhawk,"Barber, Men's Haircut"
"Root touch up/ Full Color, Express Hair Cut /No blow-drying","Hair Color, Women's Haircut"
FAMILY DISCOUNT,Style
Braid updo (sm / med &designs),Style
Tribal Two -Three Layered Feed Inz,Braids
Half up and half down Quick Weave,Weaves
"Partial Highlights/Lowlights, Brow Wax, Pedicure","Eyebrows, Pedicure"
Kids Braided styles,Braids
"Women's Cut, partial hilight, root retouch, lip wax","Women's Haircut, Waxing"
SILK PRESS shoulder length,"Natural Hair, Sets & Styles"
Partial Sew in,Weaves
Organic Enzyme Peel,Skincare
SEMI-PERMANENT COLOR,Hair Color
Color Touch Up and Style,Hair Color
"Anc dip system, Pedicure","Manicure, Pedicure"
PopUpShop Brow Wax + Tint 6/3,Eyebrows
"Balayage, Color glaze",Highlights
"Medium Indiviuals, HAIR TRIM",Braids
Shampoo and Condition,Hair Treatments
"Men's Cut, Loyalty Program Hair Cut",Men's Haircut
Monthly Deal,Sets & Styles
"Eyebrow wax, Haircut and style",Eyebrows
"Gel Manicure, Pumpkin Spice Latte Pedicure",Manicure
"Full Sew-in, Trim",Weaves
All-Over Clipper Cut,Men's Haircut
"Root Touch Up no cut, Babylights","Hair Color, Highlights"
(Large)Box Braids,Braids
"single process, brow wax, ""Flash"" single foils",Eyebrows
"Full Face Wax, Brow Shaping","Waxing, Eyebrows"
"Full Highlights, Permanent Color, Cut, Press and Style",Highlights
Brazilian Blowout Split End Mender,Hair Treatments
